stnid,lat,lon,deparval,accumval,norm
KFOK,40.84361,-72.63222,-330,9/11/17,
KFOE,38.95028,-95.66389,-630,9/11/17,
KFOD,42.55,-94.18333,212,9/11/17,
KFNT,42.96667,-83.74944,-305,9/11/17,
KFNL,40.45,-105.01667,-226,9/11/17,
KFNB,40.08028,-95.59195,-306,9/11/17,
KFMY,26.585,-81.86139,-61,9/11/17,
KFLO,34.18528,-79.72389,-401,9/11/17,
KFLL,26.07194,-80.15361,-27,9/11/17,
KFLG,35.14417,-111.66639,-399,9/11/17,
KFLD,43.76944,-88.49083,-314,9/11/17,
KFKL,41.38333,-79.86667,-199,9/11/17,
KFKA,43.67667,-92.17972,-251,9/11/17,
KFIT,42.55194,-71.75583,-470,9/11/17,
KFHR,48.52222,-123.02306,-984,9/11/17,
KFGN,49.31833,-94.90278,133,9/11/17,
KFFT,38.18472,-84.90333,-442,9/11/17,
KFFM,46.28333,-96.15,31,9/11/17,
KFFL,41.05306,-91.97889,-206,9/11/17,
KFFC,33.35528,-84.56694,-521,9/11/17,
KFET,41.44889,-96.52,-275,9/11/17,
KFDY,41.01361,-83.66861,-385,9/11/17,
KFDR,34.21,-98.59,-535,9/11/17,
KFCM,44.83222,-93.47056,-385,9/11/17,
KFBL,44.33333,-93.31667,-36,9/11/17,
KFAY,34.99139,-78.88028,-583,9/11/17,
KFAT,36.78,-119.71944,-296,9/11/17,
KFAR,46.92528,-96.81111,-109,9/11/17,
KFAM,37.76083,-90.42833,-287,9/11/17,
KEYW,24.555,-81.75222,-1,9/11/17,
KEYE,39.825,-86.29583,-553,9/11/17,
KEWR,40.6825,-74.16944,-331,9/11/17,
KEWN,35.06778,-77.04806,-470,9/11/17,
KEWK,38.06778,-97.27472,-347,9/11/17,
KEWB,41.67639,-70.95833,-258,9/11/17,
KEVW,41.27306,-111.03056,-231,9/11/17,
KEVV,38.04417,-87.52056,-448,9/11/17,
KEVM,47.42417,-92.4975,-295,9/11/17,
KEUL,43.65,-116.63333,-636,9/11/17,
KEUG,44.12778,-123.22056,-905,9/11/17,
KETH,45.77972,-96.54472,-40,9/11/17,
KETB,43.41667,-88.13333,277,9/11/17,
KEST,43.40111,-94.74722,-212,9/11/17,
KESF,31.39528,-92.29083,-552,9/11/17,
KESC,45.73333,-87.08334,-144,9/11/17,
KERY,46.31111,-85.45722,-276,9/11/17,
KERI,42.08028,-80.1825,-358,9/11/17,
KEQY,35.01694,-80.62056,-514,9/11/17,
KEPH,47.30778,-119.51528,-837,9/11/17,
KENW,42.595,-87.93806,-279,9/11/17,
KENV,40.72055,-114.03584,-315,9/11/17,
KEMP,38.32917,-96.19472,-507,9/11/17,
KELZ,42.10944,-77.99194,-227,9/11/17,
KELY,39.29528,-114.84667,-736,9/11/17,
KELP,31.81111,-106.37583,-484,9/11/17,
KELO,47.81667,-91.83333,-4,9/11/17,
KELN,47.03389,-120.53028,-878,9/11/17,
KELM,42.15945,-76.89194,-380,9/11/17,
KELD,33.22083,-92.81417,-636,9/11/17,
KEKO,40.82889,-115.78861,-432,9/11/17,
KEKN,38.88528,-79.85278,-429,9/11/17,
KEHR,37.8,-87.68333,-174,9/11/17,
KEHO,35.25556,-81.60111,30,9/11/17,
KEFT,42.61472,-89.59056,-154,9/11/17,
KEET,33.17833,-86.78167,-569,9/11/17,
KEEO,40.04417,-107.88861,-344,9/11/17,
KEEN,42.9,-72.26667,-3,9/11/17,
KEED,34.7675,-114.61889,-182,9/11/17,
KECG,36.26056,-76.175,-480,9/11/17,
KEBS,42.43639,-93.86861,-303,9/11/17,
KEAU,44.86639,-91.48778,-570,9/11/17,
KEAT,47.39778,-120.20139,-978,9/11/17,
KEAR,40.73333,-99,-92,9/11/17,
KDYT,46.72167,-92.04333,-102,9/11/17,
KDYL,40.33,-75.1225,-339,9/11/17,
KDXX,44.98611,-96.04333,121,9/11/17,
KDXR,41.37139,-73.48278,-357,9/11/17,
KDWH,30.0675,-95.55611,-535,9/11/17,
KDVT,33.68833,-112.08167,-190,9/11/17,
KDVN,41.61389,-90.59139,-330,9/11/17,
KDVL,48.11666,-98.9,-18,9/11/17,
KDUJ,41.17833,-78.89889,-270,9/11/17,
KDUH,41.73583,-83.65528,-131,9/11/17,
KDUG,31.45833,-109.60611,-135,9/11/17,
KDUC,34.47083,-97.95083,-308,9/11/17,
KDUA,33.94222,-96.39444,-272,9/11/17,
KDTW,42.23139,-83.33083,-355,9/11/17,
KDTS,30.4,-86.47167,-365,9/11/17,
KDTO,33.20611,-97.19889,-511,9/11/17,
KDTN,32.54278,-93.745,-622,9/11/17,
KDTL,46.83333,-95.88333,-213,9/11/17,
KDSV,42.57083,-77.71333,-269,9/11/17,
KDSM,41.53389,-93.65306,-299,9/11/17,
KDRT,29.37833,-100.92694,-322,9/11/17,
KDRO,37.14306,-107.76028,-400,9/11/17,
KDRA,36.62056,-116.02778,-413,9/11/17,
KDPA,41.91444,-88.24639,-300,9/11/17,
KDNS,41.98639,-95.38056,-272,9/11/17,
KDNL,33.46694,-82.03861,-506,9/11/17,
KDMO,38.70417,-93.18333,-684,9/11/17,
KDMN,32.26222,-107.72056,-199,9/11/17,
KDMH,39.28139,-76.61111,-393,9/11/17,
KDLS,45.61944,-121.16611,-1257,9/11/17,
KDLN,45.2575,-112.55445,-513,9/11/17,
KDLH,46.83694,-92.18333,-330,9/11/17,
KDKK,42.49333,-79.27222,-388,9/11/17,
KDIK,46.79944,-102.79722,-294,9/11/17,
KDHT,36.01667,-102.55,-540,9/11/17,
KDHN,31.31667,-85.45,-369,9/11/17,
KDGW,42.79611,-105.38028,-326,9/11/17,
KDFW,32.89778,-97.01889,-575,9/11/17,
KDFI,41.3375,-84.42889,-376,9/11/17,
KDEW,47.97417,-117.42833,-923,9/11/17,
KDET,42.40917,-83.01,-159,9/11/17,
KDEQ,34.05,-94.40083,-469,9/11/17,
KDEN,39.83278,-104.6575,-521,9/11/17,
KDEH,43.27528,-91.73917,-290,9/11/17,
KDEC,39.83444,-88.86556,-449,9/11/17,
KDDH,42.89139,-73.24694,-332,9/11/17,
KDDC,37.76861,-99.96778,-429,9/11/17,
KDCU,34.6525,-86.94528,-584,9/11/17,
KDCA,38.84722,-77.03445,-538,9/11/17,
KDBQ,42.39778,-90.70361,-276,9/11/17,
KDAY,39.90639,-84.21861,-482,9/11/17,
KDAW,43.27806,-70.92222,-359,9/11/17,
KDAN,36.57278,-79.335,-387,9/11/17,
KDAL,32.85194,-96.85555,-594,9/11/17,
KDAG,34.85361,-116.78584,-120,9/11/17,
KDAB,29.18278,-81.04833,-146,9/11/17,
KD07,45.03194,-102.01917,-656,9/11/17,
KCZZ,32.62611,-116.46806,-476,9/11/17,
KCYS,41.15,-104.81667,-577,9/11/17,
KCXY,40.21722,-76.85139,-496,9/11/17,
KCXO,30.35667,-95.41389,-483,9/11/17,
KCWI,41.83333,-90.33333,-13,9/11/17,
KCVX,45.30472,-85.27472,-329,9/11/17,
KCVO,44.5,-123.28333,-46,9/11/17,
KCVN,34.43333,-103.08333,-213,9/11/17,
KCVG,39.04445,-84.6725,-447,9/11/17,
KCUT,43.73306,-103.61139,-492,9/11/17,
KCUB,33.97055,-80.99583,-455,9/11/17,
KCTY,29.63333,-83.10528,-263,9/11/17,
KCTB,48.60333,-112.37528,-476,9/11/17,
KCSV,35.95083,-85.08139,-523,9/11/17,
KCSQ,41.00722,-94.36306,-352,9/11/17,
KCSM,35.35667,-99.20416,-563,9/11/17,
KCSG,32.51611,-84.94222,-397,9/11/17,
KCRW,38.37944,-81.59,-482,9/11/17,
KCRS,32.03111,-96.39889,-600,9/11/17,
KCRQ,33.12806,-117.27944,-74,9/11/17,
KCRP,27.77417,-97.51222,-201,9/11/17,
KCRG,30.33611,-81.51472,-270,9/11/17,
KCRE,33.81167,-78.72389,-395,9/11/17,
KCQX,41.6875,-69.99333,-372,9/11/17,
KCQC,35.00278,-105.66278,-492,9/11/17,
KCQB,35.72361,-96.82,-216,9/11/17,
KCPS,38.57139,-90.15722,-564,9/11/17,
KCPR,42.89778,-106.47389,-501,9/11/17,
KCOU,38.81694,-92.21833,-598,9/11/17,
KCOT,28.45667,-99.21833,-362,9/11/17,
KCOS,38.81,-104.68833,-516,9/11/17,
KCOQ,46.7025,-92.50417,-138,9/11/17,
KCON,43.12,-71.3,-318,9/11/17,
KCOE,47.76667,-116.81667,-650,9/11/17,
KCOD,44.51667,-109.01667,-260,9/11/17,
KCNY,38.75,-109.76278,-446,9/11/17,
KCNU,37.67028,-95.48416,-623,9/11/17,
KCNO,33.97528,-117.63611,-462,9/11/17,
KCNM,32.33361,-104.25806,-459,9/11/17,
KCNK,39.55139,-97.65083,-402,9/11/17,
KCNC,41.01944,-93.35944,-312,9/11/17,
KCMY,43.96667,-90.73333,-199,9/11/17,
KCMX,47.16861,-88.48889,-148,9/11/17,
KCMI,40.03972,-88.27778,-488,9/11/17,
KCMH,39.99083,-82.87695,-499,9/11/17,
KCMA,34.21667,-119.08333,-213,9/11/17,
KCLT,35.22361,-80.95528,-568,9/11/17,
KCLM,48.12028,-123.49833,-1029,9/11/17,
KCLL,30.58917,-96.36472,-517,9/11/17,
KCLE,41.40583,-81.85194,-503,9/11/17,
KCKV,36.62389,-87.41944,-340,9/11/17,
KCKN,47.84167,-96.62139,4,9/11/17,
KCKC,47.83806,-90.38306,-21,9/11/17,
KCKB,39.29556,-80.22889,-398,9/11/17,
KCIU,46.25,-84.46667,-163,9/11/17,
KCIN,42.04611,-94.78889,-224,9/11/17,
KCID,41.88334,-91.71667,-342,9/11/17,
KCHS,32.89861,-80.04028,-374,9/11/17,
KCHO,38.13861,-78.45306,-593,9/11/17,
KCHK,35.09611,-97.96611,-204,9/11/17,
KCHA,35.03111,-85.20139,-529,9/11/17,
KCGI,37.22528,-89.57056,-492,9/11/17,
KCFV,37.09111,-95.56639,-583,9/11/17,
KCEZ,37.30694,-108.62639,-292,9/11/17,
KCEW,30.77972,-86.52251,-416,9/11/17,
KCEU,34.67194,-82.88639,-523,9/11/17,
KCEC,41.78028,-124.23667,-84,9/11/17,
KCDW,40.87639,-74.28306,-216,9/11/17,
KCDS,34.42722,-100.28306,-487,9/11/17,
KCDR,42.8375,-103.09806,-390,9/11/17,
KCDJ,39.82333,-93.57917,-494,9/11/17,
KCDC,37.70861,-113.09444,-463,9/11/17,
KCCY,43.0725,-92.61083,-217,9/11/17,
KCCR,37.99167,-122.055,-202,9/11/17,
KCBG,45.55944,-93.265,-22,9/11/17,
KCBF,41.25944,-95.75972,-340,9/11/17,
KCAV,42.74167,-93.75889,-269,9/11/17,
KCAR,46.87056,-68.01722,-561,9/11/17,
KCAO,36.44861,-103.15389,-625,9/11/17,
KCAK,40.91806,-81.44361,-463,9/11/17,
